transaction_id,user_id,product_id,transaction_date
be8e02d5-d674-43cd-a363-3c0ea46e99dc,93128cf2-ad66-40e5-92c4-6380ad1efe84,213c9fa1-f6f4-4ded-bc99-7b7758f131a1,2021-10-06
9deb4d3d-f9b6-471b-a9a1-324fa4b34fa1,772901a8-4597-42fe-b4eb-fd86c2f244b4,014ba9f6-1934-436d-93e7-7af44499ab74,
34e005ec-d4d0-4df1-9958-3dd60f883fee,376e96dc-1530-47e0-b812-84a207b067a4,c161c848-207a-4311-a029-ac8732f53b9b,2021-08-31
1937844c-f2ec-4b26-8e6a-e7c2844669eb,b74507f8-e283-47e1-9e4e-6f81b71eea11,dfffa4eb-8770-4f63-ae2f-942c5bc89356,2022-06-03
7a276c9a-11aa-4c6b-be60-5024bbc9b4f7,eb23c000-5b84-4a4f-ae4c-2da567994dda,c161c848-207a-4311-a029-ac8732f53b9b,2024-04-13
e19df9c7-2a85-475c-8aa2-4f301b32b048,772901a8-4597-42fe-b4eb-fd86c2f244b4,014ba9f6-1934-436d-93e7-7af44499ab74,
33caa4da-b875-46ab-aa42-0aca52d4e217,bd6f718c-73f9-45ba-85f2-ab2d588dfec9,014ba9f6-1934-436d-93e7-7af44499ab74,2021-11-23
82066caf-d7c6-40c2-8926-042c529f7558,bd6f718c-73f9-45ba-85f2-ab2d588dfec9,b13c4305-a090-4da9-9476-4609bddb6d31,2024-08-29
faa66f44-467c-4e58-bad4-78766ca3d3c0,21f91aad-ad9c-48cc-a745-3b96a4a86b06,dfffa4eb-8770-4f63-ae2f-942c5bc89356,2020-01-05
53462a9a-21d6-4ef0-820d-249fd3fd142c,772901a8-4597-42fe-b4eb-fd86c2f244b4,213c9fa1-f6f4-4ded-bc99-7b7758f131a1,
